M,N,Num_Traitors,NOISE_TIME,T1_TIME,Abort_Count,Correct_Count,Incorrect_Count
1,5,0,5e-11,5e-05,4,0,0
1,5,0,5e-11,5e-05,0,0,4
1,5,0,5e-11,5e-05,4,0,0
1,5,0,5e-11,5e-05,0,0,4
1,5,0,5e-11,5e-05,0,0,4
1,5,0,5e-11,5e-05,4,0,0
1,5,0,5e-11,5e-05,4,0,0
1,5,0,5e-11,5e-05,0,0,4
1,5,0,5e-11,5e-05,4,0,0
1,5,0,5e-11,5e-05,0,0,4
1,5,0,5e-11,5e-05,0,0,4
1,5,0,5e-11,5e-05,0,0,4
1,5,0,5e-11,5e-05,4,0,0
1,5,0,5e-11,5e-05,4,0,0
1,5,0,5e-11,5e-05,0,0,4
1,5,0,5e-11,5e-05,0,0,4
1,5,0,5e-11,5e-05,0,0,4
1,5,0,5e-11,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
1,5,0,0.0,5e-05,4,0,0
1,5,0,0.0,5e-05,0,0,4
